filename,nama_file_putusan,nominal_uang,uang_pengganti,tuntutan_penjara,subsider_penjara,Jenis_Dakwaan,jabatan_terdakwa
case_001.txt,putusan_07_pid.sus_tpk_2013_pn.ab_20251220120732.pdf,116.960.000,11.080.000,12,1,Kerugian Negara,ASN
case_002.txt,putusan_10_pid.sus-tpk_2017_pn_tte_20260524153205.pdf,810.200.000,617.200.000,72,36,Kerugian Negara,Kepala Desa
case_003.txt,putusan_10_pid.sus-tpk_2019_pn_tte_20260524154130.pdf,589.732.940,0,20,0,,Kerugian Negara,ASN
case_004.txt,putusan_10_pid.sus-tpk_2025_pn_sby_20260109203443.pdf,4.335.000.000,0,18,0,Kerugian Negara,Kepala Desa
case_005.txt,putusan_110_pid.sus-tpk_2023_pn_bdg_20251216225847.pdf,1.849.300.000,1.727.500.000,60,28,Kerugian Negara,Kepala Desa
case_006.txt,putusan_11_pid.sus-tpk_2017_pn_tte_20260524153041.pdf,400.000,0,7,0,Lainnya,ASN
case_007.txt,putusan_11_pid.sus-tpk_2020_pn_mnd_20251220152322.pdf,733.454.500,111.467.500,28,3,Kerugian Negara,Kepala Desa
case_008.txt,putusan_11_pid.sus-tpk_2024_pn_bdg_20251216230114.pdf,656.314.670,0,24,0,Kerugian Negara,ASN
case_009.txt,putusan_11_pid.sus-tpk_2025_pn_sby_20260109203440.pdf,1.020.000.000,0,18,0,Kerugian Negara,Kepala Desa
case_010.txt,putusan_12_pid.sus-tpk_2017_pn_tte_20260524154133.pdf,3.300.000,0,7,0,Lainnya,ASN
case_011.txt,putusan_12_pid.sus-tpk_2025_pn_sby_20260109203419.pdf,1.020.000.000,0,24,0,Kerugian Negara,Kepala Desa
case_012.txt,putusan_13_pid.sus-tpk_2017_pn.amb_20251220123836.pdf,741.383.000,0,12,0,Kerugian Negara,ASN
case_013.txt,putusan_140_pid.sus-tpk_2024_pn_sby_20260109203423.pdf,1.658.853.424,0,108,0,Kerugian Negara,Kepala Desa
case_014.txt,putusan_14__pid.sus-tpk_2017_pn.amb_20251220123832.pdf,741.383.000,371.000.000,30,5,Kerugian Negara,ASN
case_015.txt,putusan_14_pid.sus-tpk_2017_pn_tte_20260524153047.pdf,3.300.000,0,7,0,Lainnya,ASN
case_016.txt,putusan_14_pid.sus-tpk_2019_pn_tte_20251216223951.pdf,781.585.682,345.889.487,60,30,Kerugian Negara,Kepala Desa
case_017.txt,putusan_14_pid.sus-tpk_2025_pn_sby_20260109203357.pdf,260.200.000,0,12,0,Kerugian Negara,Kepala Desa
case_018.txt,putusan_15__pid.sus-tpk_2017_pn.amb_20251220123827.pdf,741.383.000,0,14,0,Kerugian Negara,ASN
case_019.txt,putusan_15_pid.sus-tpk_2019_pn_tte_20260524152624.pdf,236.807.300,93.721.300,42,12,Kerugian Negara,ASN
case_020.txt,putusan_15_pid.sus-tpk_2025_pn_bdg_20251216195841.pdf,4.646.274.518,257.632.794,66,12,Kerugian Negara,Kepala Desa
case_021.txt,putusan_15_pid.sus-tpk_2025_pn_sby_20260109203359.pdf,260.200.000,0,12,0,Kerugian Negara,Kepala Desa
case_022.txt,putusan_16_pid.sus-tpk_2025_pn_sby_20260109203313.pdf,357.022.000,357.022.000,18,0,Kerugian Negara,Kepala Desa
case_023.txt,putusan_17_pid.sus-tpk_2025_pn_bdg_20251216191107.pdf,4.646.274.518,0,48,0,Kerugian Negara,Kepala Desa
case_024.txt,putusan_17_pid.sus-tpk_2025_pn_sby_20260109203320.pdf,150.650.000,0,16,0,Kerugian Negara,Kepala Desa
case_025.txt,putusan_18_pid.sus-tpk_2019_pn_tte_20251216215330.pdf,119.407.333,35.000.000,15,8,Kerugian Negara,Kepala Desa
case_026.txt,putusan_18_pid.sus-tpk_2025_pn_sby_20260109203316.pdf,150.650.000,5.350.000,24,1,Kerugian Negara,Kepala Desa
case_027.txt,putusan_19_pid.sus-pk_2017_pn.kpg_20251220121235.pdf,685.473.492,347.243.600,21,6,Kerugian Negara,Kepala Desa
case_028.txt,putusan_19_pid.sus-tpk_2018_pn_amb_20251220120707.pdf,4.545.00.000,0,36,0,Suap,ASN
case_029.txt,putusan_1_pid.sus-tpk_2019_pn_tte_20260524152623.pdf,67.387.500,0,14,0,Kerugian Negara,ASN
case_030.txt,putusan_1_pid.sus-tpk_2020_pn_tte_20260519182806.pdf,454.160.002,454.160.002,60,30,Kerugian Negara,Kepala Desa
case_031.txt,putusan_20_pid.sus-tpk_2019_pn_tte_20251216215305.pdf,217.178.925,217.178.925,72,36,Kerugian Negara,Kepala Desa
case_032.txt,putusan_20_pid.sus-tpk_2025_pn_sby_20260109203343.pdf,2.433.760.420,0,24,0,Kerugian Negara,ASN
case_033.txt,putusan_21_pid.sus-tpk_2017_pn_amb_20251220123711.pdf,5.720.679.708,241.752.798,48,2,Kerugian Negara,Kepala Desa
case_034.txt,putusan_21_pid.sus-tpk_2019_pn_tte_20251216215244.pdf,168.037.510,168.037.510,54,12,Kerugian Negara,Kepala Desa
case_035.txt,putusan_21_pid.sus-tpk_2024_pn_jkt.pst_20251220122806.pdf,44.269.777.204,0,44,0,Kerugian Negara,ASN
case_036.txt,putusan_21_pid.sus-tpk_2025_pn_sby_20251221020436.pdf,2.433.760.420,0,38,0,Kerugian Negara,ASN
case_037.txt,putusan_22_pid.sus-tpk_2025_pn_sby_20260109202803.pdf,18.051.195.000,0,48,0,Kerugian Negara,Kepala Desa
case_038.txt,putusan_23_pid.sus-tpk_2025_pn_sby_20260109203307.pdf,1.791.463.557,0,48,0,Kerugian Negara,Kepala Desa
case_039.txt,putusan_247_pid.b_2021_pn_jap_20251220150647.pdf,165.760.670,0,36,0,Lainnya,Swasta
case_040.txt,putusan_24_pid.sus-tpk_2017_pn.kendari_20251216222513.pdf,1.530.000.000,0,0,0,Kerugian Negara,ASN
case_041.txt,putusan_24_pid.sus-tpk_2025_pn_sby_20260109203035.pdf,1.791.463.557,0,54,0,Kerugian Negara,Kepala Desa
case_042.txt,putusan_25_pid.sus-tpk_2025_pn_sby_20260109105819.pdf,2.623.507.159,529.000.559,30,12,Kerugian Negara,ASN
case_043.txt,putusan_27_pid.sus-tpk_2017_pn.kendari_20251219235116.pdf,8.996.144.050,0,0,0,Lainnya,Swasta
case_044.txt,putusan_2_pid.sus-tpk_2020_pn_tte_20260519182424.pdf,996.345.705,30.000.000,48,6,Kerugian Negara,Kepala Desa
case_045.txt,putusan_34_pid.sus-tpk_2025_pn_sby_20260109203022.pdf,141.100.995.150,0,192,0,Kerugian Negara,Kepala Desa
case_046.txt,putusan_35_pid.sus-tpk_2021_pn_jkt.pst_20251220120424.pdf,521.100.000.000,0,0,0,Kerugian Negara,ASN
